priority,part,name,section,suggested_source,raw
"P0","普速铁路","同蒲—太焦—焦柳线","5. 同蒲—太焦—焦柳线（大同—柳州）","OSM（禁止 hsr）","5. 同蒲—太焦—焦柳线（大同—柳州）"
"P0","普速铁路","同蒲线","华北地区","OSM（禁止 hsr）","同蒲线（大同—风陵渡，含北同蒲、南同蒲）"
"P0","普速铁路","襄渝线","中南地区","OSM（禁止 hsr）","襄渝线（襄阳—重庆）"
"P0","普速铁路","鹰厦线","华东地区","OSM（禁止 hsr）","鹰厦线（鹰潭—厦门，694公里）"
"P1","快速铁路","北阿铁路","【福建地区】","OSM（多客货共线）","北阿铁路（北屯-阿勒泰）"
"P1","快速铁路","达成铁路","【福建地区】","OSM（多客货共线）","达成铁路（达州-成都，160-200km/h）"
"P1","快速铁路","额哈铁路","【福建地区】","OSM（多客货共线）","额哈铁路（额济纳-哈密）"
"P1","快速铁路","赣瑞龙铁路","【福建地区】","OSM（多客货共线）","赣瑞龙铁路（赣州-瑞金-龙岩，200km/h）"
"P1","快速铁路","邯黄铁路","【福建地区】","OSM（多客货共线）","邯黄铁路（邯郸-黄骅，货运为主）"
"P1","快速铁路","衡柳铁路","【福建地区】","OSM（多客货共线）","衡柳铁路（衡阳-柳州，200km/h）"
"P1","快速铁路","奎北铁路","【福建地区】","OSM（多客货共线）","奎北铁路（奎屯-北屯，160km/h）"
"P1","快速铁路","柳南城际","【福建地区】","OSM（多客货共线）","柳南城际（柳州-南宁，200km/h）"
"P1","快速铁路","黔桂铁路","【福建地区】","OSM（多客货共线）","黔桂铁路（贵阳-柳州，140km/h）"
"P1","快速铁路","遂渝铁路","【福建地区】","OSM（多客货共线）","遂渝铁路（遂宁-重庆，200km/h）"
"P1","快速铁路","铜九铁路","【福建地区】","OSM（多客货共线）","铜九铁路（铜陵-九江，160km/h）"
"P1","快速铁路","武九客运专线","【福建地区】","OSM（多客货共线）","武九客运专线（武汉-九江，250km/h）"
"P1","城际铁路","成绵乐城际铁路","四、成渝城市群城际铁路网","hsr-rails 或 OSM","成绵乐城际铁路（成都-绵阳-峨眉山，300km/h）"
"P1","城际铁路","广深城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广深城际铁路（广州-东莞-深圳，200km/h，2025年提质改造完成）"
"P1","城际铁路","广珠城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广珠城际铁路（广州-珠海，200km/h）"
"P1","城际铁路","汉十高铁","【华中地区】","hsr-rails 或 OSM","汉十高铁（武汉-十堰，350km/h）"
"P1","城际铁路","胶济客运专线","【山东半岛城市群】","hsr-rails 或 OSM","胶济客运专线（济南-青岛，250km/h）"
"P1","城际铁路","宁安城际铁路","二、长三角城际铁路网","hsr-rails 或 OSM","宁安城际铁路（南京-安庆，250km/h）"
"P1","城际铁路","长珲城际","【东北地区】","hsr-rails 或 OSM","长珲城际（长春-吉林-延吉-珲春，250km/h）"
"P1","城际铁路","郑开城际","【中原城市群】","hsr-rails 或 OSM","郑开城际（郑州-开封，200km/h）"
"P1","普速铁路","宝中线","西北地区","OSM（禁止 hsr）","宝中线（宝鸡—中卫）"
"P1","普速铁路","北疆线","西北地区","OSM（禁止 hsr）","北疆线（乌鲁木齐—阿拉山口）"
"P1","普速铁路","滨绥线","东北地区","OSM（禁止 hsr）","滨绥线（哈尔滨—绥芬河，548公里）"
"P1","普速铁路","成渝线","西南地区","OSM（禁止 hsr）","成渝线（成都—重庆，505公里）"
"P1","普速铁路","川黔线","西南地区","OSM（禁止 hsr）","川黔线（重庆—贵阳，463公里）"
"P1","普速铁路","达万线","西南地区","OSM（禁止 hsr）","达万线（达州—万州）"
"P1","普速铁路","敦煌线","西北地区","OSM（禁止 hsr）","敦煌线（敦煌—格尔木）"
"P1","普速铁路","阜淮线","华东地区","OSM（禁止 hsr）","阜淮线（阜阳—淮南）"
"P1","普速铁路","干武线","西北地区","OSM（禁止 hsr）","干武线（干塘—武威）"
"P1","普速铁路","广茂线","中南地区","OSM（禁止 hsr）","广茂线（广州—茂名）"
"P1","普速铁路","广梅汕线","中南地区","OSM（禁止 hsr）","广梅汕线（广州—梅州—汕头）"
"P1","普速铁路","贵昆线","西南地区","OSM（禁止 hsr）","贵昆线（贵阳—昆明，639公里）"
"P1","普速铁路","汉丹线","中南地区","OSM（禁止 hsr）","汉丹线（武汉—丹江口）"
"P1","普速铁路","河茂线","中南地区","OSM（禁止 hsr）","河茂线（河唇—茂名）"
"P1","普速铁路","侯西线","西北地区","OSM（禁止 hsr）","侯西线（侯马—西安）"
"P1","普速铁路","淮南线","华东地区","OSM（禁止 hsr）","淮南线（淮南—芜湖）"
"P1","普速铁路","集二线","华北地区","OSM（禁止 hsr）","集二线（集宁—二连浩特）"
"P1","普速铁路","嘉镜线","西北地区","OSM（禁止 hsr）","嘉镜线（嘉峪关—镜铁山）"
"P1","普速铁路","京通线","华北地区","OSM（禁止 hsr）","京通线（北京—通辽）"
"P1","普速铁路","京原线","华北地区","OSM（禁止 hsr）","京原线（北京—原平）"
"P1","普速铁路","拉滨线","东北地区","OSM（禁止 hsr）","拉滨线（拉法—哈尔滨）"
"P1","普速铁路","来福线","华东地区","OSM（禁止 hsr）","来福线（龙岩—福州）"
"P1","普速铁路","蓝烟线","华东地区","OSM（禁止 hsr）","蓝烟线（蓝村—烟台）"
"P1","普速铁路","黎湛线","中南地区","OSM（禁止 hsr）","黎湛线（黎塘—湛江）"
"P1","普速铁路","漯宝线","中南地区","OSM（禁止 hsr）","漯宝线（漯河—宝丰）"
"P1","普速铁路","牡图线","东北地区","OSM（禁止 hsr）","牡图线（牡丹江—图们）"
"P1","普速铁路","南昆线","西南地区","OSM（禁止 hsr）","南昆线（南宁—昆明，898公里）"
"P1","普速铁路","内昆线","西南地区","OSM（禁止 hsr）","内昆线（内江—昆明）"
"P1","普速铁路","宁芜线","华东地区","OSM（禁止 hsr）","宁芜线（南京—芜湖）"
"P1","普速铁路","平齐线","东北地区","OSM（禁止 hsr）","平齐线（四平—齐齐哈尔）"
"P1","普速铁路","沈丹线","东北地区","OSM（禁止 hsr）","沈丹线（沈阳—丹东，277公里）"
"P1","普速铁路","石德线","华北地区","OSM（禁止 hsr）","石德线（石家庄—德州）"
"P1","普速铁路","通让线","东北地区","OSM（禁止 hsr）","通让线（通辽—让湖路）"
"P1","普速铁路","皖赣线","华东地区","OSM（禁止 hsr）","皖赣线（芜湖—贵溪）"
"P1","普速铁路","武大线","中南地区","OSM（禁止 hsr）","武大线（武昌—大冶）"
"P1","普速铁路","西康线","西南地区","OSM（禁止 hsr）","西康线（西安—安康）"
"P1","普速铁路","西平线","西北地区","OSM（禁止 hsr）","西平线（西安—平凉）"
"P1","普速铁路","新长线","华东地区","OSM（禁止 hsr）","新长线（新沂—长兴）"
"P1","普速铁路","宣杭线","华东地区","OSM（禁止 hsr）","宣杭线（宣城—杭州）"
"P1","普速铁路","阳安线","西南地区","OSM（禁止 hsr）","阳安线（阳平关—安康）"
"P1","普速铁路","漳泉肖线","华东地区","OSM（禁止 hsr）","漳泉肖线（漳州—泉州—肖厝）"
"P1","普速铁路","长图线","东北地区","OSM（禁止 hsr）","长图线（长春—图们，529公里）"
"P1","普速铁路","枝柳线","中南地区","OSM（禁止 hsr）","枝柳线（枝城—柳州）"
"P2","城际铁路","成雅铁路","四、成渝城市群城际铁路网","hsr-rails 或 OSM","成雅铁路（成都-雅安，200km/h）"
"P2","城际铁路","崇礼铁路","一、京津冀城际铁路网","hsr-rails 或 OSM","崇礼铁路（张家口-崇礼，250km/h）"
"P2","城际铁路","川南城际铁路","四、成渝城市群城际铁路网","hsr-rails 或 OSM","川南城际铁路（内江-自贡-泸州）"
"P2","城际铁路","佛莞城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","佛莞城际铁路（佛山-东莞，200km/h）"
"P2","城际铁路","广惠城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广惠城际铁路（广州-惠州，200km/h）"
"P2","城际铁路","广清城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广清城际铁路（广州-清远，200km/h）"
"P2","城际铁路","广肇城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广肇城际铁路（广州-佛山-肇庆，200km/h）"
"P2","城际铁路","广州东环城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","广州东环城际铁路（番禺-白云机场北，200km/h，2025年通车）"
"P2","城际铁路","哈佳铁路","【东北地区】","hsr-rails 或 OSM","哈佳铁路（哈尔滨-佳木斯，200km/h）"
"P2","城际铁路","合杭城际","二、长三角城际铁路网","hsr-rails 或 OSM","合杭城际（合肥-杭州，350km/h）"
"P2","城际铁路","金建高铁","二、长三角城际铁路网","hsr-rails 或 OSM","金建高铁（金华-建德，250km/h）"
"P2","城际铁路","京滨城际铁路","一、京津冀城际铁路网","hsr-rails 或 OSM","京滨城际铁路（北京-天津滨海，250-350km/h）"
"P2","城际铁路","京唐城际铁路","一、京津冀城际铁路网","hsr-rails 或 OSM","京唐城际铁路（北京通州-唐山，350km/h，2025年底全线通车）"
"P2","城际铁路","京雄城际铁路","一、京津冀城际铁路网","hsr-rails 或 OSM","京雄城际铁路（北京-雄安，350km/h）"
"P2","城际铁路","龙漳铁路","【福建地区】","hsr-rails 或 OSM","龙漳铁路（龙岩-漳州，200km/h）"
"P2","城际铁路","鲁南高铁","【山东半岛城市群】","hsr-rails 或 OSM","鲁南高铁（日照-临沂-曲阜-菏泽-兰考，350km/h）"
"P2","城际铁路","牡佳高铁","【东北地区】","hsr-rails 或 OSM","牡佳高铁（牡丹江-佳木斯，250km/h）"
"P2","城际铁路","南龙铁路","【福建地区】","hsr-rails 或 OSM","南龙铁路（南平-龙岩，200km/h）"
"P2","城际铁路","潍莱高铁","【山东半岛城市群】","hsr-rails 或 OSM","潍莱高铁（潍坊-莱西，350km/h）"
"P2","城际铁路","武冈城际","【华中地区】","hsr-rails 或 OSM","武冈城际（武汉-黄冈，200km/h）"
"P2","城际铁路","武石城际","【华中地区】","hsr-rails 或 OSM","武石城际（武汉-黄石，200km/h）"
"P2","城际铁路","武咸城际","【华中地区】","hsr-rails 或 OSM","武咸城际（武汉-咸宁，200km/h）"
"P2","城际铁路","武孝城际","【华中地区】","hsr-rails 或 OSM","武孝城际（武汉-孝感，200km/h）"
"P2","城际铁路","郑机城际","【中原城市群】","hsr-rails 或 OSM","郑机城际（郑州-新郑机场，200km/h）"
"P3","城际铁路","成灌铁路","四、成渝城市群城际铁路网","hsr-rails 或 OSM","成灌铁路（成都-都江堰-青城山，200km/h）"
"P3","城际铁路","成蒲铁路","四、成渝城市群城际铁路网","hsr-rails 或 OSM","成蒲铁路（成都-蒲江，200km/h）"
"P3","城际铁路","广佛环线","三、珠三角城际铁路网","hsr-rails 或 OSM","广佛环线（广州-佛山西环线）"
"P3","城际铁路","津蓟城际铁路","一、京津冀城际铁路网","hsr-rails 或 OSM","津蓟城际铁路（天津-蓟州，160km/h）"
"P3","城际铁路","琶莲城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","琶莲城际铁路（琶洲-广州莲花山，200km/h，2025年通车）"
"P3","城际铁路","穗深城际铁路","三、珠三角城际铁路网","hsr-rails 或 OSM","穗深城际铁路（广州-东莞-深圳机场，140-160km/h）"
